checkpoint,layer,pos,source,grp,n,t,off_axis,t_lo,t_hi,off_lo,off_hi
sft__none,19,last_prompt,all,pseudo_all,1445,0.06872851422865331,1.0153588422408326,0.02821368260778696,0.11294241622761227,0.962379520017473,1.0679865791376313
sft__none,19,last_prompt,all,pseudo_acc,695,-0.08519303657034492,1.0247136317664258,-0.11932481915623298,-0.04027690592174093,0.9710580076595081,1.0909011317064115
sft__none,19,last_prompt,all,pseudo_ref,750,0.21136250402647092,1.0978260723990991,0.17116812175065185,0.25850632002026225,1.0462758913389376,1.1574273473365946
sft__none,19,last_prompt,false_reject,pseudo_acc,123,-0.03371655596695267,1.2531121875051099,-0.08663747011176763,0.041810124140060086,1.1950882953854485,1.3530069628827144
sft__none,19,last_prompt,false_reject,pseudo_ref,377,0.23523400762621854,1.235413470511832,0.19089239071347117,0.2863959954151245,1.1763935546953206,1.3036434020603365
sft__none,19,last_prompt,or_bench,pseudo_acc,395,-0.06623755010717805,1.2279344171102597,-0.10350982352426692,-0.01598540145175427,1.1675018719403734,1.3022476368463884
sft__none,19,last_prompt,or_bench,pseudo_ref,100,0.0814702981769428,1.161983363136895,0.03423140277634256,0.1545462186671446,1.1026576182604282,1.2742852121531218
sft__none,19,last_prompt,xstest,pseudo_acc,177,-0.16326661261062275,1.1581618415738701,-0.19994688958287146,-0.10859916251717096,1.1152796761284414,1.2353095889566978
sft__none,19,last_prompt,xstest,pseudo_ref,273,0.2259766676007461,1.4421591126986857,0.173757984239639,0.2845587765512586,1.3800038336198168,1.5209489293525145
sft__none,19,first_gen,all,pseudo_all,1445,0.3818983642214864,0.2545705627145385,0.35382964558938906,0.4108634475959217,0.24756181648166453,0.26792415412924053
sft__none,19,first_gen,all,pseudo_acc,695,-0.05893189974444646,0.3334087019280046,-0.07389510016191894,-0.043675541027442796,0.30720239090046036,0.3679569268377799
sft__none,19,first_gen,all,pseudo_ref,750,0.7904010901963834,0.33280314083417745,0.7509308949872076,0.8237800415237667,0.319842890207586,0.3488450457683421
sft__none,19,first_gen,false_reject,pseudo_acc,123,-0.033185081225661696,0.377192911493316,-0.058855141115014456,-0.006059312545939923,0.36242350030852616,0.42954783627899973
sft__none,19,first_gen,false_reject,pseudo_ref,377,0.7757548456999779,0.4277903780796502,0.734169300286332,0.8189811375771183,0.41124909256088604,0.4479170105936603
sft__none,19,first_gen,or_bench,pseudo_acc,395,-0.08640051863519103,0.5192432508753212,-0.10281453324049909,-0.06895343841437762,0.4771867820765753,0.5759351178612643
sft__none,19,first_gen,or_bench,pseudo_ref,100,0.6707638530194321,0.405926219071554,0.5782132891897667,0.7514947133296097,0.37667274635595394,0.45883317161493753
sft__none,19,first_gen,xstest,pseudo_acc,177,-0.015523733470096387,0.3518864084328887,-0.03305684876157255,0.0042472404418392815,0.335403057319078,0.39122755151530125
sft__none,19,first_gen,xstest,pseudo_ref,273,0.8544500321041752,0.4335635159006739,0.8041146838224881,0.9087571836039962,0.4139859673074918,0.4637050075373649
sft__none,26,last_prompt,all,pseudo_all,1445,0.046871178169323506,0.8829391888199986,0.02325924574941189,0.08226157698538776,0.8353981830802574,0.9285882224137804
sft__none,26,last_prompt,all,pseudo_acc,695,-0.07488523938961275,0.9020249956530293,-0.10045154504514214,-0.03940337111358045,0.8542044990649207,0.9619393151728918
sft__none,26,last_prompt,all,pseudo_ref,750,0.15969880828808372,0.9475191121854037,0.13259119442686687,0.2017996043221388,0.8917708934897518,0.9912621338859952
sft__none,26,last_prompt,false_reject,pseudo_acc,123,-0.03550640403443548,1.108557062488673,-0.0797676869467914,0.022059050961246853,1.0695414343282692,1.1958701330413588
sft__none,26,last_prompt,false_reject,pseudo_ref,377,0.18327176197384598,1.0442980739294727,0.14565119381514424,0.22890991355158158,0.9939326083252549,1.1069615911996031
